date,star_rating,header,body
2025-05-31,1,Gift card,"I tried to book a gift card as a wedding present. The transaction was declined even though I tried multiple cards. I called the help centre and the person I spoke to was lovely, but said that the gift card could only be bought for yourself and the credit applied to your own account, it couldn't be transferred to another person, how is that a gift card??"
2025-05-31,1,Worst platform ever! ,"Worst platform ever, disrespectful, irresponsible and without the slightest empathy or consideration for its users! I have always been a respectful guest, with good reviews, I have never broken a single rule! I had rented a house for my vacation in Mykonos 3 months in advance through the platform and it was already paid for, my trip was all set with accommodation and tickets paid for. Until Airbnb decided to ruin my vacation, they simply canceled my reservation and deleted my account for no reason, no explanation, causing me to lose my reservation and now with little time left for the trip I can't rent another place that fits my budget and is of the same standard, which could cause me to postpone or cancel the trip! Thank you for ruining my Airbnb vacation, you are a trash company!"
2025-05-31,2,Not giving a s*** about loyal customers,"In many countries the price to quality ratio is better that on other platforms. 

Their customer support is horrible though. They had an error in one of the booking, and instead of providing another accomodation quickly they made me wait. I missed an expensive tour non-refundable and I had to book another accomodation last minute which was very expensive because of them. I'd expect them to value their loyal customers more. 

I've been using it for more than 6 years and made a lot of bookings lately. But this stops today. I'd rather use booking.com. "
2025-05-31,1,Airbnb canceled our reservation at 1:00…,"Airbnb canceled our reservation at 1:00 AM — not the host — leaving my family, including my elderly father with serious medical conditions, stranded in the middle of the night with no shelter, restrooms, or assistance. Airbnb provided no alternative accommodations and told us to find a hotel ourselves. We incurred unplanned hotel costs and endured serious emotional and physical hardship, especially for my father. Despite this being a direct failure by Airbnb (not a host cancellation), they offered only $125 — just 20% of the reservation cost. I’m demanding full reimbursement, appropriate compensation, and a formal apology for this unacceptable breach of duty and care."
2025-05-30,1,AVOID at all costs!!,"AVOID at all costs!!! Zero customer service, super high charges and shitty places. Disgusting organization"
2025-05-30,1,airbnb for a mouldy vacation,"I find it unacceptable that airbnb continues to support a listing that had mould and violates its own health policy and EU laws. I think after 10 years of using airbnb, I am finally done with it."
2025-05-30,1,⭐ 1-Star Review for Airbnb:,"⭐ 1-Star Review for Airbnb:
Review:
A guest booked for 5 people, but turned-up with 11, held a house and pool party, and filmed a video shoot all of which violated our listed our house rules. We asked her to pay for the extra six guests, and in response, she left a 1-star retaliatory review.

We submitted video evidence to Airbnb showing the violations, but they refused to remove the review. Also while writing our response, Airbnb’s system logged us out and posted an unfinished reply, which now damages our listing further.

Despite escalating the issue, Airbnb’s staff and senior case managers defended the guest, ignored their own policies, and showed no understanding of customer service or business impact. As a result, we received no bookings since then. Airbnb has wholly failed to support us as hosts. I am so shocked that as a public limited company they hired staff that cannot even think out of the box. I will be taking legal proceeding against airbnb."
2025-05-30,1,Frustrating and Unhelpful Customer Support Experience,"Airbnb’s customer support feels slow, inconsistent, and heavily scripted. It often seems like agents are limited in what they can actually do, and issues get passed around without real resolution. There’s little sense of accountability or urgency, and it’s hard to feel genuinely supported as a guest. Communication needs to be clearer, more human, and more action-driven."
2025-05-29,1,From the get go The airBNB customer…,"From the get go The airBNB customer support team was pathetic , the whole process is geared to favor the owner.
The couldn’t close the ticket fast enough, buyer beware as a consumer you really don’t have a leg to stand on when it comes to obtaining a fair decision. "
2025-05-29,1,Worst communication and service,"Worst communication and service I ever experienced. I contacted support multiple times because of a failing payment. Received several payment links that did not work, resulting in an automatically cancelled booking and no claim on a refund.
Support answers like they're reading right from a script. 
I never experienced this in my life!"
2025-05-29,5,They offer convenience.,"My family and I have used AirBNB for our vacations a few times and we have never had any problems. It's convenient because we usually travel in groups and with a house, everyone can stay together comfortably. This enables us to enjoy activities together and save money on food by cooking some of our own meals.
The only thing I don't like is that as a secondary guest, I can't leave my own review on their site. Only the person who made the reservation can do that and it bites. Every adult guest should be able to share their own experience."
2025-05-29,1,Their customer service team are…,Their customer service team are useless. They should be putting more pressure on the owners to ensure that basic essentials are in place (i.e. waste disposal)
2025-05-29,2,Airbnbs business model favors dishonest hosts.,"Airbnb favors hosts who try to maximize their profit by scamming the system  they claim false damage charges,charging extra to have cleaning that’s supposed to be a part of the contract, or they provide some cleaning supplies for you to clean it yourThe hosts want to communicate with you off of the platform so they can sell you anything from their rental without the platform fees, to products they or their family sellsIf you complain you probably will get blocked from using the platform being labeled high riskThey need hosts and they favor them over paying guestsThey do not even favor guests who have used their platform repeatedly ."
2025-05-29,1,After upates unuseful platform!,Since airbnb updated their system I am unable to make a reservation. After several [ months] contacts with their customer service which has not resolved the issue i have declared airbnb unuseful and is not my preferred platform to book. I use succesfully other webs and do not recommend airbnb
2025-05-29,5,Good customer support,Good customer support
2025-05-29,1,Poor Customer Service/doesn't properly represent properties,"We booked a house that AirBnB represented to be just off the beach on the same side of the street and outside of town.  When we received the actual address of the house it's on the other side of the street so you have to cross the main road to ""walk"" to the beach and it's in the middle of the town behind a hotel and brewery.  It's not anywhere close to the location that was represented.  Of course by the time we were given the actual address it was less than a week before our trip and past the cancellation date.  We asked the host about the address and she told us that Airbnb does not have the location correct and that she has asked them to correct it.  There is no mention in the posting that the address is incorrect.  We contacted AirBnB customer support and were told that  they don't show the actual address and since it's less than a mile from where they showed it to be they would not less us cancel the booking.  We picked this house and paid an extra $800 based on the location.  Being next to the beach and being almost a mile away is a huge difference and is not a proper representation of the locations.  Don't ever use AirBnB.  Go to VRBO or another site."
2025-05-28,1,Today,"Today, I missed a confirmed apartment booking in Sharm El Sheikh due to the lack of timely support and attention from your team. I tried to resolve the issue through your platform but received no meaningful response, which resulted in me losing both my reservation and valuable time.

This is completely unacceptable.

I relied on Airbnb’s credibility and service quality, but what I experienced today was nothing short of negligence. No one was available to help, and no action was taken to ensure I could access the property or find an immediate alternative.

I am honestly very angry. This kind of experience not only ruined my day but also made me question whether Airbnb is truly reliable when travelers need it most."
2025-05-28,1,Airbnb favors hosts,"Airbnb favors hosts
Booked three days stay in Orlando, as soon as we arrived, we were on the mission to kill cockroaches, and a flying moth also visit us. we contacted host and she refused to refund for the extra two days. we moved the next day and contacted airbnb for resolution. Airbnb was not honored at first but eventually agree to reimburse the extra two days but refused the service fee and taxes. But eventually they agreed to pay $200 for our bad experience. However my honest review was reported by host and airbnb decided to take out without my consent "
2025-05-28,1,"Title: Airbnb Penalised Me £2,750 for a Guest Who Missed Her Flight – Now Holding Me Liable","I’m a host and Airbnb applied a £2,750.71 negative balance to my account — for a situation that wasn’t my fault.

My guest missed her flight and couldn’t arrive on the agreed check-in date. I offered to help with new dates or cancellation to make things easier. I genuinely thought Airbnb would handle the refund through their guest protection — not take the money from me.

What happened next shocked me:
	•	Airbnb processed the cancellation and paid me.
	•	Later, they also refunded the guest.
	•	Then they applied a negative balance to my account, as if I now owe them £2,750.

I never knowingly agreed to this. There was no warning, no consent, and no explanation that I’d be personally liable if Airbnb made payout mistakes. I simply tried to be flexible.

Now I can’t host again unless I repay the full amount — for a guest who didn’t show up.

This is:
	•	Host exploitation
	•	Misuse of refund systems
	•	A breach of transparency and fairness

I’ve filed a GDPR Subject Access Request and will escalate this to the UK ICO and Competition & Markets Authority. Airbnb has refused to resolve this through support. This is how they treat hosts trying to help guests in good faith."
2025-05-28,1,If I could give zero stars I would,"If I could give zero stars I would. Overall my experience with Air BNB properties has been awful, including this last one (Oak Knoll Cottage in Prescott, AZ). I have stayed at over 2 dozen properties the last 6 years and have been burned by Air BNB and hosts one too many times. Only 2 properties have been good during that time. Most have been disgustingly dirty, not as advertised in some important way, or the host ends up sticking us with extra fees that we didn't incur (such as damage or stains caused by prior occupants). Air BNB always takes the side of the owner on those. One owner even had hidden ""security"" cameras INSIDE the unit to watch occupants while they were there. Yes, INSIDE. Please beware of this company and its hosts. At the very least you run the risk of dirty properties or getting stuck with fees that are not yours to pay. I'm disabling my account and going back to staying in hotels I trust and can easily research ahead of time."
2025-05-28,1,AirBNB steals money!!!! Owes me thousands of euro for my accomodation!!!!,"I created a new host account for my new flat, I had already around 25 people using it, but AirBNB havent uploaded my bsnk account info and after I was suppose to get paid, I was blocked saying - security reason with no real reason at all.
I contacted them everywhere, answer from ai was - there is nothing se can do. 
Please tell me Iam not alone in this🥹🥹🥹🥹"
2025-05-28,1,Masters of deceit and manipulation ,"Air BnB have truly mastered the art of maximising profits at the expense of all guests. Whilst continuing to protect hosts, because the more active hosts the more they profit.
After 10 years of use, a few bad experiences resulting in weeks of back and forth with the most appalling customer service I have ever experienced. (Worse than HMRC, which I never thought was possible). My time has come to abandon this company and warn others. It works well, until it doesn’t. Then you are completely left alone and abused whilst they suck the time and energy to the point where you simply have no choice but to give up.
Worst of all, they won’t publish your reviews. If negative, so that hosts are protected and they continue to profit. One of the most manipulative companies that exist today. True masters in the dark side of abusing the consumers wallet & time."
2025-05-28,1,Complicated,"It's complicated making a reservation, and they don't show the breakdown once you've sent a request. 

They really must simplify and clarify the process. "
2025-05-28,1,Unacceptable!!!,"I would give them 0 stars if it were an option. I created an account, verified my ID, then messaged a host about my upcoming stay. The next day I got an email stating they have removed my account and I would not be able to create another one.  The worst part is they won't even tell me why!  What could I have possibly done?! Outrageous and unprofessional.  I do not recommend. This has ruined my sons 18th bday suprise! "
2025-05-27,1,We have used airbnb and not normally…,"We have used airbnb and not normally had a problem until we had a problem with a host. We booked to stay in another country for our holiday, it was accepted. For the host to then attempt to convince us to cancel as they had over booked. Airbnb have fined the host but now we have been left with no place to stay that meets the requirements without us having to pay hundreds more. Apparently we should be 'satisfied' that we have been given a refund for the money we paid for the airbnb, that us having to pay extra or we waste money on flights is fine."
2025-05-27,1,I need to wait 15 days for a refund…,I need to wait 15 days for a refund from AirBnb when the host canceled the booking only because they forgot to delist the property for this summer. This is unacceptable because I cannot book now my summer vacation in the next 15 days as not having the money available.
2025-05-27,5,Great for long term stays,"I used Airbnb years ago for long term stays then stopped as had a few bad experiences (host not Airbnb).
Started using them again and out of four properties 3 were amazing,  one was not.
I think as long as you check reviews,  Airbnb offers some great deals but you have to do your homework. "
2025-05-27,1, Poor poor service,Booked an apartment in October 2024 for a 5 night stay in Marbella in July 2025. With no reason and a total lack of response from AirBnB since they cancelled the booking two days ago I have gone to another company. £26 compensation and only if I book with them is totally inadequate. 
2025-05-27,1,Air b and b is not trustworthy at all…,Air b and b is not trustworthy at all they only listen to the host not the guest...the property shown to us and later given to us was completely different..the basement was dirty smelling bad and bad ventilated....we were there for less than an hour and we vacated the property as soon as we could...there were dirt on the floor...the electricity was up and down and suddenly the neighbour came to check the main connection as it was a joint connection...she disturbed us many times ...we asked the host for the air conditioner and he was very rude...we asked air b and b to refund my money back as we did not stayed there for more than an hour...he refused to refund my money as he is a cheater and a very bad guy but even air b and b didn't help us at all...they listened to the host they trusted the host but not us...we sincerely request people not to deal with air b and b...very very very disappointed 
2025-05-26,1,2 buckings yesterday and both…,2 buckings yesterday and both canceled.Avoid this company.
2025-05-26,1,The wooooooooorst. Been working with Airbnb as a host and…,"Been working with Airbnb as a host and guest for years. In their early years they had great customer support. In the last few years they have become the worst company I've ever worked with. They provide zero support for hosts or guests, won't allow you to talk to anyone in upper management and will blatantly tell you that they have the authority to break their own policies without justification. They have mastered the art of the run around"
2025-05-26,2,Airbnb no resolution ,The booking and holiday went well but there was a dispute about some damage at the end of our stay. I contacted Airbnb Résolution and described the issue to them. They never responded. 24 hrs later they closed the issue. I have asked them what they did about it several times; - - nothing it seems.
2025-05-26,1,Awful customer service ,"Airbnb has one of worst customer services ever ,if you can even call it that.

We have been threatened by our host in the night. We messaged Airbnb because calling them would cost us a lot of money. We never got a response.
Then we called in the morning. We haven't gotten any help or advise on how to proceed nor have we gotten a call back in more than 6hours even though we insistsled that it's urgent. Now we spent all evening and day to argue with a very offensive host. Also we don't want to go through the hassle of packing,finding an accommodation and travelling somewhere else because of this issue.

Hosts like that shouldn't be allowed to host and Airbnb should offer some proper customer service. We will never book on Airbnb again. The chances that the accommodation isn't what you expect is to high and you will end up being frustrated,waisting your energy on it instead of enjoying your vacation..."
2025-05-26,1,If I could give zero stars,"If I could give zero stars, I would. Upon arrival at this so-called property with ""historic charm,"" we immediately noticed a hole in the closet floor. The kitchen cabinets were in terrible shape, and the bathroom had no exhaust fan. I reported these issues to both the host and Airbnb, only to receive dismissive and unhelpful responses from both. Labeling a rundown place as ""historic charm"" is a deceptive way to mislead guests. This feels like a coordinated scam, and Airbnb appears complicit by allowing these listings to stay up. Travelers, beware."
2025-05-25,5,great experience,Always a great experience and customer support
2025-05-24,1,Scam site full of dishonest host,Scam site full of dishonest host
2025-05-24,1,Disgusting accommodation ,Airbnb booked through booking com not as described on the website it’s dirty small cramped and sharing rooms with other people confusing to gain access garden is a disgrace dirty and unkempt chairs dirty and cushions missing not adequate for number of people cramped in to tiny rooms entrance disgusting rubbish lying about no shops close by very dissatisfied with this accommodatio there is also an issue with coming out of the room at night and the lights don’t come on until you get to the bottom of the stairs dangerous especially when you are unsteady on your feet.
2025-05-24,1,"The platform claims the place was ""prepared for me"", but Airbnb’s ","I’m disappointed with how Airbnb handled Case A50712614.
I canceled my reservation 24 days in advance, and the host still kept 50% of the payment, including a cleaning fee for a service that was never performed.

The platform claims the place was ""prepared for me"", but Airbnb’s own calendar shows the property was already rented on May 24–26, right before my check-in.

This isn’t just about policy — it’s unjust enrichment. I formally requested a review, but Airbnb closed the case without addressing these facts.

I’m now escalating this publicly. I expected better from a company that claims to support fairness and trust.

#Airbnb #ConsumerRights #UnjustEnrichment #FairBooking"
2025-05-23,1,SCAM charges!! Don't use this company.,"I got a random $270+ charge on my card from Airbnb. Havent used them since 2024. I called to have it refunded and ask what it was for.

They wont tell me and will not refund saying it was probably a friend or family that used it.

Im so beyond disbelief. These are scam like responses they clearly put a random charge on my card and saying someone else did it. I've never been so cheated by a company! 

"
2025-05-23,2,Airbnb Ignored Clear Policy Violations – Harmful Review Left Up,"I’ve been a loyal Airbnb host and have always tried to maintain a high standard for my guests. But I recently faced a deeply frustrating experience that I believe every host should be aware of.

A guest left a review that included false and damaging claims, including:
	•	Speculation about hidden surveillance devices (with no evidence)
	•	A false statement that my listing was an “entire home” when it’s clearly listed as a guesthouse
	•	No issues raised during the stay — only false allegations made after checkout

I submitted two formal requests for removal, clearly referencing Airbnb’s own Review and Content Policies (which prohibit false or misleading content and unsubstantiated accusations). Both times, I received what felt like automated responses with no real explanation.

Eventually, I was told the case was closed and the decision couldn’t be overturned — despite the review clearly violating the rules. This has had a real impact on my family’s small business, and I no longer feel protected as a host.

Airbnb encourages hosts to be transparent and professional — but when the system fails to enforce its own policies, that trust breaks down. I hope Airbnb re-evaluates how it supports its host community in situations like this."
2025-05-23,1,"Waste of time, research and then when request to book the owner refuses request 😡😡😡",If a property is advertised with dates you are able to book then what a waste of time that they can refuse the booking!! They should be penalised for misadvertising and Airbnb should be ensuring they are not allowed to do this - won’t be wasting anymore time as this has happened to me on too many occasions!! 
2025-05-23,1,"Misleading Listing, No Refund, Zero Accountability","I booked a property on Airbnb that advertised a jacuzzi and cowboy hot tub. The listing showed a filled, working tub in the photos, appeared in “hot tub” filtered search, and said “Enjoy the jacuzzi” early in the description. Both features were listed as included amenities.

After booking, I discovered the jacuzzi was completely out of service, and the cowboy tub required an additional $60 fee — only mentioned at the bottom of the listing. This was not disclosed clearly or upfront.

When I tried to cancel, Airbnb only offered cancellation with no refund. I contacted the host less than 20 minutes after booking — they refused to cancel. Airbnb support agents also denied a refund, despite the obvious misrepresentation and their own policy about listing accuracy.

I formally informed both the host and Airbnb that I would not be checking in and have since filed complaints with multiple consumer protection agencies. I’ll be disputing the charge through my credit card.

Airbnb does not take responsibility when hosts mislead guests, and their support is unwilling to resolve even clear, documented cases. Book with caution."
2025-05-23,1,Airbnb is useless,"Airbnb is useless, you can't even use it. I try searching and it does nothing. What a joke. "
2025-05-23,1,"I'm trying to book a stay,","I'm trying to book a stay,
They ask you for specific dates.
Everyone knows cancelations can cost you if it's your fault, or not.
They have a specific button for checking similar dates.
But I entered specific dates.
I'm trying to book a stay, looking at availability for the wrong dates and wrong g number of days.
Why is the site WASTING MY TIME.
I'm missing places as they are getting booked quickly.
So I don't need to be shown places for the wrong dates or the wrong number of days either which switches the price dramatically,  if you're looking for three day stays, while they show two day availability.
I don't need to see what I'm not interested in.
Cut the crap air bnb.
I'll book elsewhere."
2025-05-22,1," Title: Warning: Airbnb kept nearly €1,800 after a host cancelled — no service, no refund","I booked a holiday rental through Airbnb worth €2,338.59. To pay for this, I used:

€1,896.00 in Airbnb credits, purchased via Benefits at Work for €1,782.24, paid with my bank card,

and the remaining €442.59 with my Mastercard.


Shortly before the trip, the host cancelled the reservation, completely outside of my control.

Airbnb refunded the €442.59 to my Mastercard, but kept the remaining €1,896.00 as locked credits in my account. These credits are non-refundable, according to Airbnb, and can only be used for a future booking—if and when I book again.

Let me be clear:

I never received the service I paid for.

I did not purchase these credits as a long-term investment or savings tool.

I urgently needed this money to pay for alternative accommodation, which I had to book elsewhere.


Now Airbnb is refusing to return the money I paid from my bank account, even though they failed to deliver the service. I am stuck with unusable credits I never wanted, while Airbnb holds on to my money.

"
2025-05-22,1,Awful customer service,"Awful customer service. The company doesn’t adhere to their own policies. 
I arrived to the property that wasn’t suitable for living and informed the host and Airbnb immediately. We have left within a couple of hours as soon as have booked another place to stay.
I have requested a refund. 
Airbnb kept sending me from
One agent to another wasting days and then saying I will not even be refunded 50% of the booking 
They don’t listen to what you have to say, bluntly lying and keep passing you on to one another. Received zero help from them
If you book via this website is basically like a lottery you won’t get any protection "
2025-05-22,1,"Website error means now £200 out of pocket, appalling customer service response. ","Search function allows you to select your dates which I did, yet it shows me properties that are already booked, which led me to unwittingly book the wrong date, and now I’m £200 out of pocket. Zero help from customer service. Just out to make money out of people. "
2025-05-22,1,Airbnb are so ridiculously frivolous.,"Airbnb are so ridiculously frivolous.
I was about to log in to their page to book an apartment but I had to write down a bank card number to verify its me.
I have changed my bank card a few times and I havent been logged in to the page for a couple of yeas.

So its like they dont want you to order any apartment.
And how is writing down card details the only way to verify yourself?
Looks like I personally need to order from the apartment owner instead of using frivolous Airbullshit."
2025-05-22,1,Just awful customer service.,I had the pleasure of talking to Airbnb customer service. They're American awful at it's best. Super friendly. Didn't listen to a word I said and kept calling me Ruujer. And in the end they only wasted 20 minutes of my life and achieved nothing.
2025-05-21,1,Not recommended as a platform to Host,"I've been as a Super Host for more than 5 years. Totally dissapointed with latest Customer Service. I do not recommend to host in Airbnb, they don't protect their Hosts Community despite they say they do. They take unilateral decision without taking your opinion into account"
2025-05-21,1,The absolute incompetence of Airbnb…,The absolute incompetence of Airbnb support agents should be studied lol… what is the point of even having support when the agents barely speak English and just say “yes sir” to everything you say without having a clue about the topic of the conversation? 
2025-05-21,1,Misleading cancellation policy which costed me €920,"I've been using Airbnb for years and have always had great experiences—until my most recent booking.

The issue was with the cancellation policy. The listing clearly stated that I could cancel by a certain time and receive a full refund. I followed that instruction and canceled within the timeframe—or so I thought. To my surprise, I later discovered that my booking was canceled but not eligible for a refund. It turns out the cancellation deadline was based on Thai time, while I was in Portugal. This crucial detail wasn’t made clear during the booking or cancellation process.

As a result, I lost €920.

I reached out to both the host and Airbnb support. While they expressed understanding and sympathy, no one offered any practical solution to help recover even part of the loss. No refund, no way to reverse the cancellation, no compensation—nothing.

I'm very disappointed with Airbnb’s cancellation policies and the lack of a clear, reliable process to handle situations like this—especially when they result from misleading or incomplete information. Losing €920 due to a time zone mismatch and getting no support or alternative is incredibly frustrating."
2025-05-21,1,A Nightmare Experience with Airbnb – Broken Promises and Abysmal Support,"My recent experience with Airbnb has been nothing short of a nightmare, marked by unprofessional hosts, deceptive practices, and a complete lack of accountability from Airbnb’s support team. What was supposed to be a family holiday in London turned into a stressful ordeal that left us stranded, humiliated, and financially burdened.

Check-In Chaos and Misleading Listings
Upon arriving at our booked property in Canary Wharf, we waited outside for an hour with heavy luggage. The host’s representative, Vanessa, arrived late, forgot the keys, and later provided malfunctioning access to the building. When we finally entered, we discovered ongoing maintenance work—tools, workers’ belongings, and debris littered the living area and kitchen. This critical detail was never disclosed in the listing, despite the host’s later contradictory claims. When confronted, the host, Rossorio, became hostile, accused us of rudeness, and demanded we leave immediately.

Airbnb’s “Support” – Empty Promises and Gaslighting
Desperate for help, I contacted Airbnb support multiple times. While agents initially promised compensation (verbally agreeing to £75 for expenses and a partial refund), these commitments vanished in writing. Instead, I received generic responses citing “host policies” and a refusal to honor verbal assurances. Worse, when I tried rebooking, Airbnb flagged me as an “unauthorized party,” blocking new reservations without explanation.

Financial Loss and Betrayal
Despite agreeing to a £35 cancellation fee for an upcoming reservation, Airbnb deducted £65 without justification. The promised £75 compensation for our ordeal also never materialized. In total, I’m out £105 due to Airbnb’s mismanagement. Their final response? A cold, copy-pasted link to cancellation policies and a dismissive “case closed” message.

A Pattern of Negligence
Each support agent contradicted the last, forcing me to relive the trauma repeatedly. Commitments made over calls were denied in writing, exposing a systemic disregard for customer trust. Meanwhile, hosts like Rossorio face no consequences for blatant dishonesty, while guests bear the brunt of Airbnb’s lax oversight.

Final Advice: Avoid Airbnb
After this ordeal, I booked a hotel via Booking.com effortlessly. Airbnb, however, left my family stranded, stressed, and out of pocket. Their platform prioritizes hosts over guests, and their support team specializes in empty apologies, not solutions.

Proceed with caution – unless you enjoy false promises, financial disputes, and hours wasted arguing with unresponsive “support.” Airbnb has lost a customer for life."
2025-05-21,1,they changed website and i cannot log…,"they changed website and i cannot log in. 
there is no way to actually get support when not logged in
instructions don't work
terrible"
2025-05-20,1,Worst organisation ever,Worst organisation ever. Most despicable customer services. There is no accountability and they can treat you like shit and you can not do anything about it. 
2025-05-20,2,Hosts Beware,"Hosts, take note: Airbnb primarily views guests as their customers, not hosts. In many disputes, they tend to favor the traveler’s side—even when it comes to property damage or violations of house rules. Getting reimbursed for damages can be a frustrating, uphill process. Airbnb often issues partial refunds without your consent, and sometimes even full refunds within cancellation windows—regardless of circumstances. While the platform does a great job of getting your listing seen and booked, don’t expect a fair resolution when conflicts arise. As for retaliatory reviews? Unfortunately, contesting them is nearly always a losing battle."
2025-05-20,1,Airbnb cancelled our booking a few days…,Airbnb cancelled our booking a few days before our trip. This flat has been booked 4 months ago. It's now impossible to find a flat in the same area for the same price. Never going to use it again. Very disappointing.
2025-05-20,1,Disappointed: no support after same-day cancellation,"I've been a loyal Airbnb user for years and have always had great experiences — until now.

I booked a stay and had to cancel just 3 hours later. The check-in was still days away, no services were used. Despite this, the host refused a full refund and Airbnb simply said there was “nothing they could do.”

The platform hides behind policy and offers no protection to guests when a host chooses to be inflexible — even in clear, reasonable situations. I asked for a gesture of goodwill (like a credit), but even that was denied.

Unfortunately, this experience has shown me that as a guest, you're on your own when things go wrong. I've lost trust in Airbnb and won’t be booking through them again."
2025-05-20,1,Terrible treatment and cover for hosts,"Terrible treatment and cover for hosts. They don't take responsibility for anything, they just take the money and don't really cover the host if there is any issue. "
2025-05-19,2,Customer Service and Poor Website Redesign,"While Airbnb is a massive global platform, the quality of its customer service is surprisingly poor. It’s frustrating to see that a company valued at $84 billion has such a low average rating of 1.4 on Trustpilot—clearly, I’m not the only one who feels this way. The lack of responsive and helpful support is simply unacceptable.

Additionally, the recent website redesign is a step backward. The new layout is confusing, cumbersome, and far more complex than the previous version. If something works well, why change it? The new interface makes navigation unnecessarily difficult, which only adds to the frustration when trying to resolve issues.

For a company of this scale, I expected far better in both customer support and user experience. I hope Airbnb takes the feedback seriously and makes meaningful improvements."
2025-05-19,1,Horrible experience 🤣🤣,"Made an account, went to book and I was told that I am a “party risk”. Booking a  hot tub stay for me and my partner to have time off from the kids hahah, I’d hardly call it a party. Won’t allow me to book with anyone even though the actual host sent me multiple invites. Ended up booking with the same host through booking.com with ease. Just better get my £600 airbnb took before cancelling my booking back!!🙄"
2025-05-19,1,"As a long standing host, extremely poor support.","As a long standing host, I had a terrible guest experience, my first. The guest made a complete mess of the accomodation that I had to close for two weeks to repair, broken windows, multiple people staying, drug taking serious threats against my family. The support from Air BnB was more loaded towards the guest than me, I have a number of properties listed with them and I am now looking at alternatives. This was my first terrible experience and I would not like to go through this again, the Air BnB support team made me feel like I was in the wrong. Anyone thinking of listing with them, don't expect any help should you have a problem."
2025-05-18,1,No help from helpdesk,"No help from helpdesk. I have paid 500 euro for a giftcart with 10 euro discount. IT IS USELESS FOR 1,5 because they are not want to help you. Insteat they have invested in a front office in PAKISTAN. WHAT A SHIT COMPANY. GO TO BOOKING.COM a real good site."
2025-05-18,1,Terrible service,"Terrible service, and what is more important I have lost the sencse of security spending my money on this platform. I recommend to avoid thisplatform"
2025-05-18,1,"Avoidable cancellation, loss of trip and non-refundable event tickets, horrendous customer service experience","Extremely disappointing experience with Airbnb.

I’ve been a loyal Airbnb customer for nearly a decade and have always had great experiences—until now. My recent booking for a weekend getaway was canceled due to what Airbnb claimed was a payment issue. The truth? My credit card had recently expired, and Airbnb made no effort to update the info, even though their own Terms of Service (2.4) say they can obtain updated details from my bank. No such attempt was made.

Worse, they only notified me via email—which landed in spam. No messages through the Airbnb app, no texts, no calls. For a time-sensitive issue like this, relying solely on email is outdated and irresponsible—especially when their app is the primary way they communicate for everything else.

I had a scheduled call with a case manager, which Airbnb completely mishandled. Instead of calling at the agreed 10:00 AM time, they tried to reach me at 1:00 AM (!), then closed my case when I didn’t answer. I had to spend a day and a half on the phone with multiple reps trying to sort it out—no resolution, just frustration.

Even more baffling: they had a working card on file that had been charged successfully just two days earlier for another booking, yet never attempted to use it.

In the end, the host—who had nothing to do with the issue—graciously issued a full refund, despite having to take a loss in profits for having to reduce the rental costs for a last minute booking.  Airbnb offered nothing. Because of their failure, three friends and I lost our accommodation, and $800 in nonrefundable event tickets. This was a trip we’d looked forward to all year, and I even took time off work for it. We missed it all.

Airbnb needs to review and update their policy regarding expired cards. This was a completely preventable situation. Airbnb dropped the ball at every step. I expected better.   "
2025-05-18,1,Use another site,"Booked up a houseboat in Amsterdam and paid, then was told it was already booked so shouldn't of been allowed to book, pain to get my money back, used another site and had know problems, told everyone not to use Airbnb as lots of better sites out there, "
2025-05-18,1,Worst Host Support,"I’ve been a host on Airbnb for five years. In the past, whenever there was a dispute regarding a guest’s review, customer support—based in the U.S.—was prompt, empathetic, and effective in understanding our concerns and taking swift action to resolve the issue.

However, it now appears that support has been outsourced to countries like India or Bangladesh. Unfortunately, the current representatives seem to lack the authority or knowledge to take meaningful action. They strictly adhere to scripted guidelines and often repeat the same responses, even after multiple disputes and the submission of clear circumstantial evidence.

Recently, a guest left a review accusing us of being scammers. When I raised this with support, I was told the comment was acceptable because it reflected the guest’s personal experience—completely disregarding the serious implications such a statement has on our integrity as hosts."
2025-05-17,1,Terrible company,"Terrible company - we booked a stay in Portugal, when we arrived the building was a complete misrepresentation of the advert and falling apart. Airbnb messed us around for hours, with each new advisor contradicting the last. Knowing the property was unsafe, had to book additional accommodation at our expense.  "
2025-05-17,1,Unrealistic system with greedy air bnb owners,"I have had TWO air bnb's cancel my reservations for next year in the last week so far. They have cancelled on the grounds that:

 1) they don't know what they will be charging for those dates yet next year

2) they are keeping those dates for their regulars

3) those dates may fall on a motorbike event and they want to review their prices for that week.

I don't understand the purpose of this air bnb site to make bookings if the air bnb owners can decline on the above grounds. Why bother advertising them dates and wasting people's time if they have no intentions on confirming those bookings or they want to hike the prices up to extorianate prices for specific dates.

Absolute waste of time using this system.
The air bnb owners who are partaking in these unreasonable practices should hang their heads in shame!! Absolute greed on their part. Air bnb get some morals!! "
2025-05-17,5,Iron bridge cottage absolutely…,Iron bridge cottage absolutely fantastic view over the gorge. Kelly was a great host very helpful 
